date,annotated-text,user,id,group,anchor,blank,text
"2018-02-14T14:20:57","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","jacqueline.lee","RevjOhGSEeivlWNn7j3LGQ","MP67BLk7","","","Reminds me of the song 'Respect' - most of us know it as the signature song of Aretha Franklin but it's actually a heavily reworked cover of an Otis Redding song. If you didn't know Aretha's version was a cover, it'd be difficult to discern they're actually the same song."
"2018-02-14T14:01:34","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","jacqueline.lee","kUheEBGPEei0unMAiguy6Q","MP67BLk7","twitter"," The power of owning objects, of displaying them, is the power over cultural narrative, the narrative of ""the victors"" as Churchill put it. ","This sentence reminded me of a [Twitter thread](https://twitter.com/kyalbr/status/963006419141308417) I came across recently. I've also added a page note to the thread itself.  "
"2018-02-14T13:51:56","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","jacqueline.lee","OKNXAhGOEeixCvfOcqnH1g","MP67BLk7","colonialism","Walk into any equivalent museum though and you'll find similar stories; the loot acquired by Colonial and Imperial pasts, displayed as the height of culture as if innocent of the deals, crimes or other forces that swept up antiquity. ","Museums in Western civilizations like to display artifacts from other civilizations as evidence they're cultured and refined, but somehow don't recognize the civilizations themselves for what they are. By moving these artifacts into the sterilized environment of the museum, with space between each item and a handy identifying tag, it objectifies a culture without requiring the viewer to actually engage with the context of the artifacts."
"2018-02-14T13:42:11","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","jacqueline.lee","24SWNhGMEei2P3cGDJEjqw","MP67BLk7","","","There's always that old joke that the British Museum houses thousands of artifacts, a few dozen of which even belong to them...  But more seriously, bringing an artifact into a museum context is already alienating it from the purpose for which it was originally created for. While I whole-heartedly agree that the Elgin Marbles should be returned to Athens, how much does returning an artifact to a museum in its home country do to restore the context it belongs in?"
"2018-02-14T13:26:43","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","jacqueline.lee","sscDhBGKEeiJszeZSX80lg","MP67BLk7","","","Is the medieval workshop analogy appropriate because the tools being used are ""basic"" or is it appropriate because we don't necessarily have any idea what we're doing?  What makes a tool basic? Is it necessary for us to always use ""cutting edge"" technology if the ""basic"" version does the same thing?"
"2018-02-14T13:21:15","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","jacqueline.lee","7wuHxhGJEeiIPadSxf0Hjw","MP67BLk7","","","It's a perspective I've considered before and something like this was discussed a bit in my History of the Future class last semester.  In the context of that class, we were talking about the way science fiction developed but it applies to conservation too. In science fiction, the types of technological advancements that are incorporated into the ""future"" that's presented is a reflection of what we see in our present today.   In the context of archaeology and conservation, it's easy to think we're talking about the past, because what needs conservation work is things from the past. But when we choose to preserve items from the past, we are projecting present day values on it. We don't preserve items based on their value or worth when they were being used, we preserve based on their value or worth in today's society. When Pompeii was discovered, people only cared about statuary and it led to situations like the courtyard Professor Graham was trying to digitally restore that he showed us in class. However, today we think the entire place is valuable and are choosing to preserve more than just statues. "
"2018-02-14T13:06:58","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","shawn.graham","8JxIohGHEeigh9Pe_FlUmQ","MP67BLk7","","","Oh? Show me."
"2018-02-14T13:06:43","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","shawn.graham","tJOg5BGHEeiviiMcz7DZvw","MP67BLk7","","","Make it so!  ![Make it so](https://i.giphy.com/bKnEnd65zqxfq.gif)  "
"2018-02-14T13:03:58","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","shawn.graham","hQ1UvhGHEeiP5E88PcFKkw","MP67BLk7","","","Extend this into our own work now..."
"2018-02-14T13:03:28","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","shawn.graham","cxIEqBGHEeivic92O9EJCQ","MP67BLk7","","","...and who defines 'misuse'? "
"2018-02-14T13:02:44","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","shawn.graham","WUK4nBGHEeix1YcwrbalnQ","MP67BLk7","","","Extend the ethics into digital simulacra..."
"2018-02-14T13:02:09","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","shawn.graham","Q_57EBGHEeiELcOfLM281A","MP67BLk7","","","Good question. Should everything from the 'past' be saved?"
"2018-02-14T13:01:46","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","shawn.graham","NnTQyhGHEei_xPdEFjTgMQ","MP67BLk7","","","alright: why is it interesting? what in particular strikes you? where's the connections with things you've already read?"
"2018-02-14T00:39:04","https://www.dezeen.com/2016/02/25/sam-jacob-opinion-column-copying-conservation-contemporary-culture-queen-other-nefertiti/","qosmondw","dR_PuBEfEeiXyZszkKN6cw","MP67BLk7","","","Yes, this happens in music all the time! An artist will use a beat, hook, or something else from another artists piece of music and more often than not, the original artist would appreciate it and enjoy the remix. I remember when 'Anaconda' by Nicki Minaj came out and I was thinking ""Hm? I wonder what Sir-Mix-a-lot would think about that"" (since his beat and sound were the basis of the song). I believe in an interview he said he enjoyed the song.  "
